Action,Package Name
disable,com.netflix.mediaclient
disable,com.samsung.android.spaymini
disable,com.microsoft.office.outlook
disable,com.google.android.apps.photos
disable,com.google.android.gm
disable,com.sec.android.gallery3d
disable,com.sec.android.app.sbrowser
disable,com.google.android.apps.tachyon
disable,com.samsung.android.dialer
disable,com.google.android.apps.messaging
disable,com.snapchat.android
disable,com.google.android.apps.youtube.music
disable,com.mygalaxy
disable,com.sec.android.app.popupcalculator
disable,com.google.android.apps.docs
disable,com.google.android.tts
disable,com.google.android.googlequicksearchbox
disable,com.google.android.projection.gearhead
disable,com.samsung.android.voc
disable,com.sec.android.app.clockpackage
disable,com.linkedin.android
disable,com.google.android.apps.restore
disable,com.android.vending
disable,com.opera.max.oem
disable,com.samsung.android.app.notes
disable,com.sec.android.app.voicenote
disable,com.samsung.cmfa.AuthTouch
disable,com.facebook.katana
disable,com.samsung.sree
disable,com.samsung.android.app.spage
disable,com.samsung.android.game.gamehome
disable,com.samsung.android.lool
disable,com.eterno.shortvideos
disable,com.android.chrome
disable,com.samsung.ecomm.global.in
disable,com.microsoft.office.officehubrow
disable,com.samsung.android.scloud
disable,com.sec.spp.push
disable,com.google.android.apps.maps
disable,com.samsung.android.messaging
disable,com.google.android.youtube
disable,com.amazon.avod.thirdpartyclient
disable,com.microsoft.skydrive
disable,in.amazon.mShop.android.shopping
disable,com.samsung.android.cmfa.framework
disable,com.samsung.android.peripheral.framework
disable,com.sec.android.easyMover
disable,com.sec.android.app.fm
disable,com.sec.android.wallet
disable,com.google.android.youtube
disable,com.spotify.music